,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Rikitea,97,PF,1580703915,79,-23.12,-134.97,26.1,6.58
1,Tuktoyaktuk,5,CA,1580703915,73,69.45,-133.04,-38.0,3.1
2,Matamoros,75,MX,1580703913,48,25.53,-103.25,18.0,2.82
3,Severo-Kuril'sk,55,RU,1580703915,83,50.68,156.12,-7.5,4.43
4,Vila Franca do Campo,20,PT,1580703916,87,37.72,-25.43,10.0,2.6
5,Bluff,100,NZ,1580703916,96,-46.6,168.33,16.11,2.24
6,Rawah,0,IQ,1580703985,68,34.48,41.91,4.97,0.48
7,Nikel,75,RU,1580703985,85,69.41,30.22,-9.0,4.1
8,Hay River,90,CA,1580703916,76,60.82,-115.8,-24.0,5.1
9,Westport,90,US,1580703986,86,41.14,-73.36,3.33,2.6
10,Amahai,100,ID,1580703986,66,-3.33,128.92,29.72,1.83
11,Krasnosel'kup,100,RU,1580703986,94,65.7,82.47,-16.38,9.26
12,Atuona,0,PF,1580703986,74,-9.8,-139.03,27.67,7.22
13,Phibun Mangsahan,0,TH,1580703918,40,15.24,105.23,31.0,3.1
14,Surskoye,100,RU,1580703918,99,54.48,46.72,1.81,4.54
15,Saint George,1,US,1580703918,23,37.1,-113.58,16.0,8.7
16,Kapaa,20,US,1580703918,73,22.08,-159.32,25.0,4.1
17,Yarim,82,YE,1580703918,65,14.3,44.38,11.23,2.34
18,Ushuaia,40,AR,1580703811,81,-54.8,-68.3,10.0,2.6
19,Nizhniy Kuranakh,100,RU,1580703919,92,58.84,125.49,-28.32,1.52
20,Cape Town,75,ZA,1580703919,100,-33.93,18.42,20.0,2.1
21,Barcelos,27,PT,1580703914,87,41.54,-8.62,14.0,5.1
22,Lebu,2,CL,1580703919,97,-37.62,-73.65,9.49,1.35
23,Ilulissat,100,GL,1580703920,71,69.22,-51.1,-16.0,2.6
24,Chokurdakh,7,RU,1580703920,91,70.63,147.92,-33.38,5.17
25,Castro,100,BR,1580703920,99,-24.79,-50.01,17.68,2.14
26,Cabo San Lucas,90,MX,1580703920,88,22.89,-109.91,19.44,2.6
27,Roald,25,NO,1580703920,69,62.58,6.13,1.0,3.1
28,Bengkulu,57,ID,1580703921,55,-3.8,102.27,30.66,1.68
29,Ambilobe,100,MG,1580703921,93,-13.2,49.05,23.77,1.77
30,Pyaozerskiy,100,RU,1580703921,94,65.83,31.17,-10.73,4.73
31,Republic of El Salvador,0,SV,1580703921,68,13.83,-88.92,28.0,3.6
32,Cockburn Town,100,TC,1580703921,81,21.46,-71.14,24.22,7.19
33,Ouadda,0,CF,1580703921,23,8.08,22.4,16.79,1.4
34,Hobart,40,AU,1580703863,57,-42.88,147.33,16.11,8.2
35,Mataura,100,NZ,1580703922,96,-46.19,168.86,16.11,2.24
36,Bonavista,100,CA,1580703922,86,48.65,-53.11,0.0,4.02
37,Yar-Sale,98,RU,1580703922,99,66.83,70.83,-23.8,4.11
38,Klaksvik,100,FO,1580703922,75,62.23,-6.59,4.0,10.3
39,Pandaria,34,IN,1580703923,29,22.23,81.42,17.28,2.1
40,Jamestown,90,US,1580703923,93,42.1,-79.24,5.0,5.1
41,Esperance,93,AU,1580703627,43,-33.87,121.9,23.0,3.6
42,Adrar,0,MR,1580703923,13,20.5,-10.07,18.25,4.83
43,Bredasdorp,60,ZA,1580703924,94,-34.53,20.04,21.0,2.08
44,Barrow,1,US,1580703924,94,71.29,-156.79,-36.0,5.7
45,Morondava,23,MG,1580703924,78,-20.28,44.28,21.96,2.42
46,Rawson,17,AR,1580703924,63,-43.3,-65.1,18.56,15.1
47,Ca Mau,34,VN,1580703924,45,9.18,105.15,30.43,5.19
48,Guangzhou,100,CN,1580703925,99,23.12,113.25,17.78,2.91
49,Saint-Augustin,100,CA,1580703925,91,51.23,-58.65,-5.57,13.39
50,Zarate,0,AR,1580703925,54,-34.1,-59.03,28.0,4.1
51,Busselton,0,AU,1580703628,18,-33.65,115.33,32.22,5.09
52,Faanui,97,PF,1580703926,79,-16.48,-151.75,28.16,7.06
53,Punta Arenas,75,CL,1580703845,76,-53.15,-70.92,10.0,6.2
54,Watsa,45,CD,1580703926,60,3.04,29.54,19.06,0.8
55,Seminole,1,US,1580703926,76,28.71,-81.21,12.0,2.6
56,Los Llanos de Aridane,0,ES,1580703926,55,28.66,-17.92,20.0,1.0
57,Bemidji,1,US,1580703927,68,47.47,-94.88,-1.67,5.7
58,Anasco,1,PR,1580703927,83,18.28,-67.14,25.0,1.73
59,Albany,90,US,1580703927,80,42.6,-73.97,0.56,0.9
60,Hithadhoo,3,MV,1580703927,75,-0.6,73.08,27.52,7.46
61,Kahului,40,US,1580703671,47,20.89,-156.47,25.0,7.2
62,Dudinka,90,RU,1580703927,76,69.41,86.18,-20.0,20.0
63,Mbekenyera,45,TZ,1580703928,97,-10.0,38.98,20.23,0.48
64,Diego de Almagro,0,CL,1580703928,55,-26.37,-70.05,15.83,0.33
65,Cabedelo,20,BR,1580703928,88,-6.98,-34.83,26.0,1.0
66,Strezhevoy,98,RU,1580703928,84,60.73,77.59,-17.0,1.0
67,Sumbe,100,AO,1580703928,84,-11.21,13.84,23.62,3.3
68,Vaini,40,TO,1580703929,83,-21.2,-175.2,26.0,4.1
69,Eureka,90,US,1580703912,86,40.8,-124.16,4.44,1.5
70,Mandalgovi,0,MN,1580703929,72,45.76,106.27,-16.53,1.91
71,Port Elizabeth,0,ZA,1580703929,88,-33.92,25.57,22.0,1.0
72,Clyde River,1,CA,1580703929,73,70.47,-68.59,-37.0,1.0
73,Paamiut,83,GL,1580703930,38,61.99,-49.67,-6.69,3.98
74,George Town,20,MY,1580703771,52,5.41,100.34,32.0,1.5
75,Geraldton,0,AU,1580703930,22,-28.77,114.6,38.0,10.8
76,Maddur,0,IN,1580703930,64,12.6,77.07,23.0,2.16
77,Hong Kong,20,HK,1580703807,64,22.29,114.16,22.78,6.2
78,Amantea,75,IT,1580703931,93,39.13,16.07,14.0,4.6
79,Maroantsetra,100,MG,1580703931,98,-15.43,49.73,20.39,1.42
80,Luderitz,0,NA,1580703931,90,-26.65,15.16,17.46,11.69
81,San Cristobal,40,VE,1580703831,74,7.77,-72.22,27.0,2.1
82,Carnarvon,0,AU,1580703932,70,-24.87,113.63,29.0,6.7
83,Wufeng,100,CN,1580703932,99,27.45,104.83,-0.04,1.77
84,Hasaki,40,JP,1580703932,43,35.73,140.83,13.89,6.2
85,Hargeisa,42,SO,1580703886,94,9.56,44.06,13.67,5.53
86,Provideniya,100,RU,1580703933,76,64.38,-173.3,-24.52,9.01
87,Mosquera,20,CO,1580703933,93,4.71,-74.23,11.0,1.5
88,Tiznit,0,MA,1580703933,27,29.58,-9.5,14.93,4.14
89,Ponta do Sol,20,PT,1580703934,45,32.67,-17.1,19.44,1.0
90,Leh,0,IN,1580703934,32,34.17,77.58,-24.31,1.62
91,Isla Mujeres,40,MX,1580703934,77,21.23,-86.73,18.0,3.6
92,Petersburg,1,US,1580703934,37,37.23,-77.4,13.89,5.1
93,Sola,40,VU,1580703934,75,-13.88,167.55,32.0,2.6
94,Mata,0,PT,1580703935,10,40.68,-7.46,13.33,1.72
95,Mar del Plata,0,AR,1580703811,88,-38.0,-57.56,20.0,3.1
96,Praia da Vitoria,20,PT,1580703935,93,38.73,-27.07,11.0,3.54
97,Saskylakh,98,RU,1580703935,86,71.92,114.08,-27.31,1.45
98,Yellowknife,40,CA,1580703935,75,62.46,-114.35,-28.89,4.6
99,Padang,95,ID,1580703936,65,-0.95,100.35,25.77,3.39
100,Airai,100,TL,1580703936,62,-8.93,125.41,26.68,1.66
101,Jos,0,NG,1580703936,34,9.92,8.9,10.0,3.1
102,Hualmay,100,PE,1580703936,78,-11.1,-77.61,22.16,1.09
103,Iqaluit,90,CA,1580703772,77,63.75,-68.51,-14.0,4.6
104,Manokwari,76,ID,1580703936,78,-0.87,134.08,26.36,3.09
105,Dabola,0,GN,1580703937,19,10.75,-11.12,19.56,1.69
106,Butaritari,100,KI,1580703937,74,3.07,172.79,28.3,6.38
107,Batemans Bay,0,AU,1580703937,68,-35.72,150.18,28.89,5.81
108,Stornoway,88,GB,1580703937,87,58.21,-6.39,7.22,7.2
109,New Norfolk,40,AU,1580703937,48,-42.78,147.06,16.67,8.2
110,Port-Gentil,100,GA,1580703938,88,-0.72,8.78,25.18,3.69
111,Ostrovnoy,100,RU,1580703938,95,68.05,39.51,-13.9,3.13
112,Deputatsky,0,RU,1580703938,90,69.3,139.9,-33.2,2.0
113,Kungurtug,34,RU,1580703723,85,50.6,97.52,-17.37,0.45
114,Vanavara,3,RU,1580703938,95,60.34,102.28,-34.98,0.87
115,Porecatu,90,BR,1580703939,100,-22.76,-51.38,21.0,1.5
116,Saldanha,47,ZA,1580703761,93,-33.01,17.94,16.0,5.1
117,Aksarka,96,RU,1580703939,98,66.56,67.8,-27.78,3.99
118,Raudeberg,32,NO,1580703939,68,61.99,5.14,1.0,3.6
119,Qena,0,EG,1580703940,70,26.16,32.72,7.0,2.38
120,La Ronge,90,CA,1580703940,77,55.1,-105.28,-18.0,6.2
121,Petropavlovsk-Kamchatsky,0,RU,1580703940,30,53.05,158.65,-10.0,1.0
122,Kavieng,100,PG,1580703940,78,-2.57,150.8,29.11,5.07
123,Ashquelon,70,IL,1580703940,93,31.67,34.57,9.0,2.1
124,Kidal,0,ML,1580703941,16,18.44,1.41,14.62,1.24
125,Hermanus,0,ZA,1580703941,94,-34.42,19.23,20.56,1.79
126,Ribeira Grande,27,PT,1580703941,77,38.52,-28.7,11.31,5.75
127,Hilo,20,US,1580703941,69,19.73,-155.09,23.0,1.5
128,Puerto Ayora,85,EC,1580703941,11,-0.74,-90.35,25.56,1.79
129,Arraial do Cabo,100,BR,1580703942,90,-22.97,-42.03,25.09,1.5
130,Mehamn,75,NO,1580703942,86,71.04,27.85,-1.0,14.9
131,Qaanaaq,92,GL,1580703942,53,77.48,-69.36,-30.19,2.1
132,Turbat,0,PK,1580703942,62,26.0,63.04,15.22,0.85
133,Agirish,90,RU,1580703943,94,61.92,63.02,-13.55,4.11
134,Nikolskoye,75,RU,1580703943,91,59.7,30.79,0.0,6.0
135,Port Lincoln,100,AU,1580703943,65,-34.73,135.87,18.1,7.2
136,Batagay-Alyta,0,RU,1580703943,68,67.8,130.41,-30.74,1.42
137,Pevek,100,RU,1580703943,99,69.7,170.31,-29.06,2.38
138,Chui,0,UY,1580703944,88,-33.7,-53.46,20.93,4.56
139,Terralba,75,IT,1580703944,87,39.72,8.64,14.0,4.1
140,Avarua,20,CK,1580703826,78,-21.21,-159.78,27.0,4.6
141,Seddon,90,AU,1580703944,48,-37.81,144.89,18.33,9.3
142,Gulabpura,0,IN,1580703944,46,25.9,74.67,10.99,3.06
143,Khatanga,23,RU,1580703945,84,71.97,102.5,-30.48,3.22
144,Bambous Virieux,40,MU,1580703945,94,-20.34,57.76,27.22,5.7
145,Arman,0,RU,1580703945,76,59.7,150.17,-19.52,3.11
146,Bethel,90,US,1580703945,98,41.37,-73.41,3.0,1.5
147,Andenes,100,NO,1580703946,86,69.31,16.12,-1.67,10.3
148,Saint George's,20,GD,1580703946,74,12.06,-61.75,27.0,6.2
149,Yichang,100,CN,1580703946,56,30.71,111.28,11.5,1.98
150,Dongfeng,0,CN,1580703946,73,42.64,125.51,-11.55,3.95
151,Lincoln,1,US,1580703947,74,40.8,-96.67,5.0,3.1
152,Veraval,0,IN,1580703947,29,20.9,70.37,19.41,6.17
153,Norman Wells,20,CA,1580703947,73,65.28,-126.83,-34.0,2.1
154,Iberia,90,US,1580703947,100,29.95,-91.75,14.44,2.6
155,Humaita,100,BR,1580703948,96,-7.51,-63.02,23.62,0.92
156,Fortuna,90,US,1580703948,93,40.6,-124.16,4.0,1.05
157,Tikrit,0,IQ,1580703948,68,34.61,43.68,6.16,2.95
158,Kargasok,100,RU,1580703948,93,59.06,80.86,-15.44,4.29
159,Srednekolymsk,100,RU,1580703948,97,67.45,153.68,-33.18,3.37
160,Souillac,40,MU,1580703948,94,-20.52,57.52,27.22,5.7
161,Sechura,90,PE,1580703949,87,-5.56,-80.82,23.29,3.69
162,Vizinga,100,RU,1580703949,95,61.07,50.1,-2.38,5.42
163,Sao Filipe,0,CV,1580703949,65,14.9,-24.5,20.73,5.99
164,Port Hardy,40,CA,1580703949,94,50.7,-127.42,0.0,3.6
165,Hofn,100,IS,1580703949,91,64.25,-15.21,3.18,8.3
166,Leningradskiy,46,RU,1580703950,83,69.38,178.42,-24.93,7.62
167,Biak,100,ID,1580703950,68,-0.91,122.88,28.4,1.79
168,Kodiak,90,US,1580703950,96,57.79,-152.41,1.0,1.5
169,Yangi Marg`ilon,100,UZ,1580703950,64,40.43,71.72,3.0,3.1
170,Mersing,100,MY,1580703950,75,2.43,103.84,27.0,7.14
171,Poya,100,NC,1580703950,80,-21.35,165.15,26.74,6.85
172,Naze,75,JP,1580703951,82,28.37,129.48,16.0,5.7
173,Muscat,0,OM,1580703951,56,23.61,58.59,22.0,3.1
174,Esim,0,GH,1580703951,92,4.87,-2.24,24.2,1.03
175,Constitucion,0,CL,1580703951,82,-35.33,-72.42,11.06,1.67
176,Mapiripan,100,CO,1580703951,92,2.89,-72.13,23.84,1.34
177,Poronaysk,0,RU,1580703952,75,49.22,143.12,-11.96,2.34
178,Del Rio,1,US,1580703952,22,29.36,-100.9,19.0,5.56
179,Sur,1,OM,1580703952,59,22.57,59.53,18.74,3.7
180,Saint-Philippe,24,RE,1580703952,88,-21.36,55.77,27.78,12.3
181,Acapulco de Juarez,40,MX,1580703952,69,16.86,-99.89,27.0,2.6
182,Ranong,20,TH,1580703953,58,9.97,98.63,31.0,3.6
183,Namtsy,100,RU,1580703953,67,62.72,129.67,-32.0,1.0
184,Tiksi,83,RU,1580703845,91,71.69,128.87,-31.53,2.33
185,San Patricio,100,MX,1580703953,75,19.22,-104.7,26.64,2.57
186,Inirida,17,CO,1580703953,96,3.87,-67.92,23.45,0.96
187,College,1,US,1580703954,75,64.86,-147.8,-17.0,0.99
188,Melbu,75,NO,1580703954,73,68.5,14.83,-1.0,5.1
189,Southbridge,1,US,1580703954,68,42.08,-72.03,1.11,3.1
190,Bandarbeyla,100,SO,1580703954,70,9.49,50.81,24.73,8.46
191,Torbay,90,CA,1580703954,94,47.67,-52.73,0.56,12.3
192,San Rafael,0,AR,1580703955,36,-34.62,-68.33,27.03,2.98
193,Phangnga,20,TH,1580703955,55,8.45,98.53,31.0,4.6
194,Bonthe,33,SL,1580703955,91,7.53,-12.51,25.21,1.95
195,Pedernales,25,DO,1580703955,88,18.04,-71.74,19.87,1.07
196,Tuy Hoa,13,VN,1580703955,80,13.08,109.3,23.11,6.9
197,Sittwe,0,MM,1580703956,43,20.15,92.9,21.64,6.29
198,Tuatapere,100,NZ,1580703956,96,-46.13,167.68,16.11,2.24
199,Xinzhou,0,CN,1580703956,27,38.41,112.73,-3.82,1.23
200,San Quintin,11,MX,1580703956,91,30.48,-115.95,14.7,4.07
201,Vanimo,100,PG,1580703956,76,-2.67,141.3,28.56,7.09
202,Antofagasta,20,CL,1580703734,77,-23.65,-70.4,22.22,3.6
203,Ust-Kuyga,12,RU,1580703957,97,70.02,135.6,-35.81,3.75
204,Sobolevo,100,RU,1580703957,79,54.43,31.9,1.17,7.78
205,Erenhot,0,CN,1580703957,48,43.65,111.98,-10.85,5.13
206,Port Alfred,9,ZA,1580703957,76,-33.59,26.89,24.44,0.8
207,Huambo,100,AO,1580703958,98,-12.78,15.74,16.62,1.14
208,Honningsvag,75,NO,1580703958,86,70.98,25.97,-1.0,14.9
209,Balakhninskiy,100,RU,1580703958,96,58.01,114.28,-27.66,1.34
210,Tasiilaq,100,GL,1580703958,73,65.61,-37.64,-7.0,2.23
211,Belyy Yar,20,RU,1580703958,83,53.6,91.39,-23.0,1.0
212,Maningrida,100,AU,1580703958,76,-12.07,134.27,29.3,5.88
213,Dikson,3,RU,1580703959,80,73.51,80.55,-26.12,6.05
214,Mahebourg,40,MU,1580703959,94,-20.41,57.7,27.22,5.7
215,Mount Gambier,19,AU,1580703959,45,-37.83,140.77,18.0,7.7
216,Mayya,100,RU,1580703960,67,61.73,130.28,-32.0,1.0
217,Thoen,0,TH,1580703960,30,17.61,99.22,30.37,0.48
218,Mendi,55,PG,1580703960,78,-6.18,143.65,20.06,2.13
219,Bathsheba,40,BB,1580703960,74,13.22,-59.52,26.0,6.7
220,Nosy Varika,33,MG,1580703960,82,-20.58,48.53,22.56,3.32
221,East London,1,ZA,1580703961,88,-33.02,27.91,21.0,2.1
222,Russell,1,US,1580703961,86,32.35,-85.2,11.0,1.5
223,Aquiraz,20,BR,1580703961,83,-3.9,-38.39,27.78,1.5
224,Aykhal,4,RU,1580703961,66,66.0,111.5,-34.0,0.94
225,Ardrishaig,40,GB,1580703961,81,56.02,-5.45,7.22,15.4
226,Vestmannaeyjar,100,IS,1580703962,73,63.44,-20.27,2.97,4.75
227,Garden City,1,US,1580703962,88,42.33,-83.33,6.67,1.5
228,Xacmaz,0,AZ,1580703962,73,41.46,48.81,7.03,0.64
229,Rosarito,75,MX,1580703962,81,32.33,-117.03,16.0,4.1
230,Khasan,0,RU,1580703963,33,42.43,130.64,-6.05,5.11
231,Dunedin,100,NZ,1580703812,78,-45.87,170.5,18.89,1.82
232,Walvis Bay,1,NA,1580703963,93,-22.96,14.51,16.11,2.68
233,Alexandria,100,EG,1580703963,93,31.22,29.96,11.0,1.0
234,Flinders,75,AU,1580703963,42,-34.58,150.86,32.22,7.7
235,Cidreira,96,BR,1580703834,82,-30.18,-50.21,24.04,9.99
236,Talavera,75,PH,1580703964,57,15.62,120.93,27.0,5.1
237,Shestakovo,0,RU,1580703964,93,56.49,103.96,-30.29,0.57
238,Pascagoula,1,US,1580703742,87,30.37,-88.56,14.0,1.5
239,Kozmodemyansk,90,RU,1580703965,98,56.34,46.57,0.0,5.0
240,Les Cayes,5,HT,1580703965,74,18.2,-73.75,26.34,3.51
241,Chaiyaphum,0,TH,1580703965,32,15.75,102.0,28.83,1.7
242,Lagoa,0,PT,1580703965,71,39.05,-27.98,14.0,6.07
243,Palana,0,RU,1580703965,84,59.12,159.97,-21.9,6.19
244,Kyzyl-Suu,87,KG,1580703966,45,42.34,78.0,-3.88,2.51
245,Guymon,1,US,1580703966,37,36.68,-101.48,13.0,4.6
246,Talnakh,90,RU,1580703966,76,69.49,88.4,-20.0,20.0
247,Kaitangata,100,NZ,1580703966,94,-46.28,169.85,18.89,2.24
248,Pangnirtung,0,CA,1580703967,70,66.15,-65.71,-25.16,4.12
249,Nicholasville,1,US,1580703764,65,37.88,-84.57,12.0,2.1
250,Beringovskiy,100,RU,1580703967,100,63.05,179.32,-28.26,13.41
251,Codrington,0,AU,1580703967,60,-38.27,141.97,13.87,8.25
252,Nirmal,35,IN,1580703968,76,19.1,78.35,22.25,2.68
253,Necochea,0,AR,1580703968,94,-38.55,-58.74,15.56,0.45
254,Hirara,20,JP,1580703968,49,24.8,125.28,21.0,3.1
255,Mujiayingzi,67,CN,1580703968,30,42.12,118.78,-8.16,2.95
256,Xichang,100,CN,1580703819,72,27.9,102.26,-0.44,0.96
257,Elizabethtown,1,US,1580703930,57,37.69,-85.86,11.67,2.6
258,Mishkino,58,RU,1580703969,97,55.34,63.92,-13.44,1.86
259,Cozumel,20,MX,1580703969,60,20.51,-86.95,22.22,4.6
260,Lompoc,1,US,1580703969,62,34.64,-120.46,13.33,6.2
261,Flin Flon,100,CA,1580703969,90,54.77,-101.86,-21.49,5.0
262,Goure,13,NE,1580703970,24,13.98,10.27,16.67,0.89
263,Zhigansk,30,RU,1580703970,95,66.77,123.37,-35.6,3.63
264,Poum,100,NC,1580703970,83,-20.23,164.02,27.21,10.07
265,Atambua,96,ID,1580703970,69,-9.11,124.89,28.22,2.77
266,Tocopilla,0,CL,1580703970,45,-22.09,-70.2,14.98,0.61
267,Goes,100,NL,1580703971,93,51.5,3.89,11.11,14.4
268,Voi,96,KE,1580703971,94,-3.39,38.56,19.87,0.13
269,Vao,76,NC,1580703971,81,-22.67,167.48,25.87,7.08
270,Nantucket,40,US,1580703971,69,41.28,-70.1,3.0,1.5
271,Luau,100,AO,1580703971,98,-10.71,22.22,17.79,1.55
272,Jacmel,0,HT,1580703972,78,18.23,-72.53,25.0,1.5
273,Pisco,100,PE,1580703972,88,-13.7,-76.22,22.22,2.6
